task_id,splitter,max_depth,dataset,mean_accuracy, std_accuracy,n_fold
146800,best,1,MiceProtein,0.2722222222222222,0.006141897759917409,0.25925925925925924|0.26851851851851855|0.2777777777777778|0.26851851851851855|0.26851851851851855|0.2777777777777778|0.2777777777777778|0.2777777777777778|0.2777777777777778|0.26851851851851855
146800,best,5,MiceProtein,0.7842592592592592,0.03994380483356111,0.75|0.8611111111111112|0.8055555555555556|0.7777777777777778|0.7777777777777778|0.75|0.7685185185185185|0.8518518518518519|0.75|0.75
146800,best,10,MiceProtein,0.8629629629629629,0.025458753860865768,0.8703703703703703|0.9259259259259259|0.8333333333333334|0.8518518518518519|0.8703703703703703|0.8611111111111112|0.8518518518518519|0.8796296296296297|0.8518518518518519|0.8333333333333334
146800,best,15,MiceProtein,0.8601851851851852,0.019620018611497297,0.8611111111111112|0.8981481481481481|0.8703703703703703|0.8611111111111112|0.8518518518518519|0.8425925925925926|0.8333333333333334|0.8888888888888888|0.8518518518518519|0.8425925925925926
146800,random,1,MiceProtein,0.21666666666666665,0.021195413226406664,0.2037037037037037|0.21296296296296297|0.2222222222222222|0.2222222222222222|0.2037037037037037|0.2222222222222222|0.23148148148148148|0.16666666666666666|0.25|0.23148148148148148
146800,random,5,MiceProtein,0.6351851851851851,0.05322262171555524,0.5925925925925926|0.7222222222222222|0.5925925925925926|0.6388888888888888|0.5740740740740741|0.6203703703703703|0.5925925925925926|0.6481481481481481|0.7407407407407407|0.6296296296296297
146800,random,10,MiceProtein,0.837962962962963,0.0495608284854542,0.8611111111111112|0.8425925925925926|0.7962962962962963|0.8240740740740741|0.9166666666666666|0.7962962962962963|0.8240740740740741|0.7592592592592593|0.8333333333333334|0.9259259259259259
146800,random,15,MiceProtein,0.8638888888888889,0.03587290857001947,0.8888888888888888|0.8518518518518519|0.8981481481481481|0.8148148148148148|0.8888888888888888|0.8055555555555556|0.9259259259259259|0.8518518518518519|0.8425925925925926|0.8703703703703703
146800,second_best,1,MiceProtein,0.2722222222222222,0.006141897759917409,0.25925925925925924|0.26851851851851855|0.2777777777777778|0.26851851851851855|0.26851851851851855|0.2777777777777778|0.2777777777777778|0.2777777777777778|0.2777777777777778|0.26851851851851855
146800,second_best,5,MiceProtein,0.7814814814814814,0.03822179155657464,0.75|0.8333333333333334|0.7592592592592593|0.7407407407407407|0.7962962962962963|0.7870370370370371|0.8148148148148148|0.8333333333333334|0.7870370370370371|0.7129629629629629
146800,second_best,10,MiceProtein,0.8675925925925926,0.027169260650224458,0.8148148148148148|0.8981481481481481|0.8425925925925926|0.8611111111111112|0.8611111111111112|0.8611111111111112|0.8888888888888888|0.9166666666666666|0.8611111111111112|0.8703703703703703
146800,second_best,15,MiceProtein,0.8722222222222221,0.025793311624415026,0.8240740740740741|0.8796296296296297|0.8888888888888888|0.8333333333333334|0.8796296296296297|0.8611111111111112|0.9074074074074074|0.8611111111111112|0.8981481481481481|0.8888888888888888
146800,worst,1,MiceProtein,0.1398148148148148,0.002777777777777774,0.14814814814814814|0.1388888888888889|0.1388888888888889|0.1388888888888889|0.1388888888888889|0.1388888888888889|0.1388888888888889|0.1388888888888889|0.1388888888888889|0.1388888888888889
146800,worst,5,MiceProtein,0.1462962962962963,0.00907218423253029,0.1574074074074074|0.14814814814814814|0.1574074074074074|0.14814814814814814|0.1388888888888889|0.14814814814814814|0.1388888888888889|0.12962962962962962|0.1388888888888889|0.1574074074074074
146800,worst,10,MiceProtein,0.16574074074074074,0.024304453237790163,0.21296296296296297|0.17592592592592593|0.1574074074074074|0.17592592592592593|0.1388888888888889|0.1388888888888889|0.17592592592592593|0.14814814814814814|0.1388888888888889|0.19444444444444445
146800,worst,15,MiceProtein,0.16944444444444445,0.01944444444444444,0.16666666666666666|0.16666666666666666|0.1574074074074074|0.16666666666666666|0.14814814814814814|0.17592592592592593|0.17592592592592593|0.1574074074074074|0.1574074074074074|0.2222222222222222
146821,best,1,car,0.7002352466729399,0.001626562710041668,0.6994219653179191|0.6994219653179191|0.6994219653179191|0.6994219653179191|0.6994219653179191|0.6994219653179191|0.6994219653179191|0.6994219653179191|0.7034883720930233|0.7034883720930233
146821,best,5,car,0.8605323296141953,0.012244971067780127,0.8670520231213873|0.8728323699421965|0.8497109826589595|0.838150289017341|0.8670520231213873|0.8439306358381503|0.8670520231213873|0.8786127167630058|0.8604651162790697|0.8604651162790697
146821,best,10,car,0.9600853609356095,0.01469797547207549,0.976878612716763|0.9595375722543352|0.9479768786127167|0.976878612716763|0.9653179190751445|0.9364161849710982|0.9479768786127167|0.9421965317919075|0.9709302325581395|0.9767441860465116
146821,best,15,car,0.9774398440650625,0.012778544140800029,0.9710982658959537|0.976878612716763|0.9595375722543352|0.9942196531791907|0.9884393063583815|0.953757225433526|0.976878612716763|0.9826589595375722|0.9767441860465116|0.9941860465116279
146821,random,1,car,0.7002352466729399,0.001626562710041668,0.6994219653179191|0.6994219653179191|0.6994219653179191|0.6994219653179191|0.6994219653179191|0.6994219653179191|0.6994219653179191|0.6994219653179191|0.7034883720930233|0.7034883720930233
146821,random,5,car,0.8605323296141953,0.012244971067780127,0.8670520231213873|0.8728323699421965|0.8497109826589595|0.838150289017341|0.8670520231213873|0.8439306358381503|0.8670520231213873|0.8786127167630058|0.8604651162790697|0.8604651162790697
